Hour,Weekday,Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%)
07:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.10
07:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.60
08:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70
08:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.20
09:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.10
09:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.90
10:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30
10:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.20
11:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60
11:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40
12:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.20
12:30,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.70
13:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.80
13:30,Monday,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.90
14:00,Monday,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10
14:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.30
15:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.90
15:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10
16:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70
16:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.10
17:00,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50
17:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40
18:00,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.90
18:30,Monday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.20
19:00,Monday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.80
19:30,Monday,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.40
20:00,Monday,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.40
07:00,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.90
07:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.30
08:00,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00
08:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50
09:00,Tuesday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.30
09:30,Tuesday,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.50
10:00,Tuesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.90
10:30,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70
11:00,Tuesday,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,8.30
11:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50
12:00,Tuesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50
12:30,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40
13:00,Tuesday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.70
13:30,Tuesday,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.80
14:00,Tuesday,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8.10
14:30,Tuesday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30
15:00,Tuesday,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8.30
15:30,Tuesday,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.40
16:00,Tuesday,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,9.30
16:30,Tuesday,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11.00
17:00,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.10
17:30,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10
18:00,Tuesday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.70
18:30,Tuesday,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,15.30
19:00,Tuesday,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,16.80
19:30,Tuesday,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.60
20:00,Tuesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.00
07:00,Wednesday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40
07:30,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.80
08:00,Wednesday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.30
08:30,Wednesday,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5.90
09:00,Wednesday,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7.00
09:30,Wednesday,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.40
10:00,Wednesday,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.20
10:30,Wednesday,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.50
11:00,Wednesday,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6.70
11:30,Wednesday,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.70
12:00,Wednesday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.70
12:30,Wednesday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.20
13:00,Wednesday,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8.00
13:30,Wednesday,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,6.20
14:00,Wednesday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.80
14:30,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.00
15:00,Wednesday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9.20
15:30,Wednesday,2,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.10
16:00,Wednesday,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,12.20
16:30,Wednesday,0,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,13.90
17:00,Wednesday,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,15.00
17:30,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17.10
18:00,Wednesday,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.60
18:30,Wednesday,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,20.20
19:00,Wednesday,1,3,0,2,0,0,0,0,4,0,1,0,0,0,4,0,22.60
19:30,Wednesday,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,23.40
20:00,Wednesday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.30
07:00,Thursday,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,4.00
07:30,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.00
08:00,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.70
08:30,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60
09:00,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50
09:30,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60
10:00,Thursday,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.60
10:30,Thursday,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,6.60
11:00,Thursday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40
11:30,Thursday,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,7.70
12:00,Thursday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.70
12:30,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90
13:00,Thursday,2,2,0,1,0,0,0,1,0,0,0,1,0,0,0,0,10.10
13:30,Thursday,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.80
14:00,Thursday,1,2,0,0,0,0,1,0,0,0,0,1,0,0,1,0,11.40
14:30,Thursday,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.50
15:00,Thursday,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12.10
15:30,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.50
16:00,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9.90
16:30,Thursday,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.10
17:00,Thursday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.10
17:30,Thursday,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13.70
18:00,Thursday,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.60
18:30,Thursday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.30
19:00,Thursday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.90
19:30,Thursday,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,21.50
20:00,Thursday,0,3,0,1,0,0,0,0,1,0,7,0,2,0,1,0,22.10
07:00,Friday,0,0,0,1,0,0,0,0,0,0,0,0,8,0,1,0,3.40
08:00,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50
08:30,Friday,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6.40
09:00,Friday,0,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,8.20
09:30,Friday,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,9.00
10:00,Friday,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10
10:30,Friday,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10.30
11:00,Friday,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.90
11:30,Friday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.30
12:00,Friday,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.90
12:30,Friday,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10.30
13:00,Friday,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.00
13:30,Friday,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9.70
14:00,Friday,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10.30
14:30,Friday,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10.90
15:00,Friday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.90
15:30,Friday,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.40
16:00,Friday,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11.30
16:30,Friday,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13.00
17:00,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.60
17:30,Friday,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17.40
18:00,Friday,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17.80
18:30,Friday,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18.10
19:00,Friday,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17.70
19:30,Friday,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17.40
20:00,Friday,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.10
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Steps In Data Cleaning:,,,,,,,,,,,,,,,,,,
"1. Removed and replaced ""."" with ""."" in the ""Slowness in traffic(%)"" column. Changed the column data type to Number.",,,,,,,,,,,,,,,,,,
"2. Removed the blanks and replaced them with ""0"".",,,,,,,,,,,,,,,,,,
3. Removed duplicate rows to avoid repeated hours in the dataset.,,,,,,,,,,,,,,,,,,
"4. Added a new column ""Weekday"" to state the different days of the week.",,,,,,,,,,,,,,,,,,